Datazone2001Code,ScottishIndexofMultipleDeprivation2012Code
S01000001,4726
S01000002,6214
S01000003,6238
S01000004,6068
S01000005,5883
S01000006,4812
S01000007,6171
S01000008,4548
S01000009,5159
S01000010,6092
S01000011,6002
S01000012,5491
S01000013,4702
S01000014,5274
S01000015,6210
S01000016,6162
S01000017,4808
S01000018,4908
S01000019,5918
S01000020,4026
S01000021,3982
S01000022,6167
S01000023,6000
S01000024,5602
S01000025,6010
S01000026,1260
S01000027,5980
S01000028,2052
S01000029,6042
S01000030,2448
S01000031,6174
S01000032,2591
S01000033,1519
S01000034,6224
S01000035,2969
S01000036,1585
S01000037,2382
S01000038,3264
S01000039,2536
S01000040,2909
S01000041,3925
S01000042,2431
S01000043,3619
S01000044,1350
S01000045,6084
S01000046,6159
S01000047,3501
S01000048,6233
S01000049,6066
S01000050,5744
S01000051,6245
S01000052,0700
S01000053,4991
S01000054,6071
S01000055,1103
S01000056,5629
S01000057,0784
S01000058,6181
S01000059,6141
S01000060,0221
S01000061,6244
S01000062,6179
S01000063,6340
S01000064,4322
S01000065,4475
S01000066,1971
S01000067,5885
S01000068,5945
S01000069,1290
S01000070,2059
S01000071,1079
S01000072,3608
S01000073,6394
S01000074,0571
S01000075,5526
S01000076,6182
S01000077,6103
S01000078,1818
S01000079,6197
S01000080,5541
S01000081,6424
S01000082,1063
S01000083,6441
S01000084,1095
S01000085,4082
S01000086,6003
S01000087,6320
S01000088,5993
S01000089,6219
S01000090,6296
S01000091,4453
S01000092,5727
S01000093,4405
S01000094,5400
S01000095,6413
S01000096,1793
S01000097,6428
S01000098,1703
S01000099,6341
S01000100,2693
S01000101,5991
S01000102,1760
S01000103,6201
S01000104,6302
S01000105,5784
S01000106,6439
S01000107,3020
S01000108,2112
S01000109,3183
S01000110,4189
S01000111,6241
S01000112,2947
S01000113,6490
S01000114,2113
S01000115,2434
S01000116,6142
S01000117,5618
S01000118,3216
S01000119,2176
S01000120,5764
S01000121,3799
S01000122,1824
S01000123,5693
S01000124,4827
S01000125,2496
S01000126,1550
S01000127,6489
S01000128,4921
S01000129,5660
S01000130,3260
S01000131,6130
S01000132,5229
S01000133,2068
S01000134,1223
S01000135,1086
S01000136,1343
S01000137,3791
S01000138,4547
S01000139,2645
S01000140,2546
S01000141,5576
S01000142,0883
S01000143,6422
S01000144,4900
S01000145,1146
S01000146,1838
S01000147,3187
S01000148,0888
S01000149,3335
S01000150,2710
S01000151,1633
S01000152,4195
S01000153,2913
S01000154,2711
S01000155,1897
S01000156,2240
S01000157,0762
S01000158,2209
S01000159,6193
S01000160,3077
S01000161,6388
S01000162,3061
S01000163,1560
S01000164,3645
S01000165,1114
S01000166,5709
S01000167,2642
S01000168,1403
S01000169,3374
S01000170,5820
S01000171,5684
S01000172,4990
S01000173,2090
S01000174,6309
S01000175,3012
S01000176,5862
S01000177,5958
S01000178,2399
S01000179,0351
S01000180,2053
S01000181,1002
S01000182,1921
S01000183,2106
S01000184,5240
S01000185,0959
S01000186,3755
S01000187,1972
S01000188,2706
S01000189,0828
S01000190,1630
S01000191,5052
S01000192,1424
S01000193,1295
S01000194,0872
S01000195,0863
S01000196,0284
S01000197,1873
S01000198,0387
S01000199,0689
S01000200,2026
S01000201,2151
S01000202,3452
S01000203,0496
S01000204,1404
S01000205,3178
S01000206,2959
S01000207,0847
S01000208,0396
S01000209,0275
S01000210,0430
S01000211,0986
S01000212,2012
S01000213,1583
S01000214,3576
S01000215,4493
S01000216,5147
S01000217,0674
S01000218,2802
S01000219,0845
S01000220,5477
S01000221,1671
S01000222,3604
S01000223,4871
S01000224,3373
S01000225,4815
S01000226,6088
S01000227,6175
S01000228,3923
S01000229,2558
S01000230,4032
S01000231,6392
S01000232,2977
S01000233,3405
S01000234,6133
S01000235,6297
S01000236,5306
S01000237,5672
S01000238,6458
S01000239,6026
S01000240,5448
S01000241,6462
S01000242,5848
S01000243,6467
S01000244,3679
S01000245,5037
S01000246,6007
S01000247,6321
S01000248,6230
S01000249,5665
S01000250,5811
S01000251,6365
S01000252,6079
S01000253,6306
S01000254,5927
S01000255,5896
S01000256,4864
S01000257,5321
S01000258,6331
S01000259,6044
S01000260,5952
S01000261,6009
S01000262,5768
S01000263,3566
S01000264,3744
S01000265,3643
S01000266,3965
S01000267,3782
S01000268,3046
S01000269,5036
S01000270,4279
S01000271,3185
S01000272,4879
S01000273,3867
S01000274,4040
S01000275,5475
S01000276,5923
S01000277,4681
S01000278,2423
S01000279,5482
S01000280,4586
S01000281,3879
S01000282,4364
S01000283,4927
S01000284,5051
S01000285,4977
S01000286,4816
S01000287,5990
S01000288,6028
S01000289,4831
S01000290,2674
S01000291,6060
S01000292,5558
S01000293,4587
S01000294,6323
S01000295,6395
S01000296,6412
S01000297,5257
S01000298,6229
S01000299,5264
S01000300,5113
S01000301,5438
S01000302,4688
S01000303,4645
S01000304,5905
S01000305,4755
S01000306,5178
S01000307,5387
S01000308,5271
S01000309,5013
S01000310,6160
S01000311,6022
S01000312,5319
S01000313,5806
S01000314,5700
S01000315,6372
S01000316,4227
S01000317,4381
S01000318,6503
S01000319,5740
