Island2011Code,Island2011Name,InhabitedStatus,IslandCensusCode1991,Easting,Northing
,Mainland,Y,,,
001,Ailsa Craig,N,0801,201878.00,599631.00
002,Inch,N,0201,287013.00,691787.00
003,Ardwall Isle,N,0301,257163.00,549351.00
004,Isle of Arran,Y,0802,196779.00,633703.00
005,Auskerry,Y,1020,367370.00,1016191.00
006,Baleshare / Baile Sear,Y,1201,78538.00,861976.00
007,Barra / Barraigh,Y,1202,67939.00,801284.00
008,Bass Rock,N,0701,360203.00,687368.00
009,Inchcape / Bell Rock,N,0901,376154.00,726809.00
010,Benbecula / Beinn Na Faoghla,Y,1203,79807.00,857439.00
011,Great Bernera / Beàrnaraigh,Y,1204,116013.00,936368.00
012,Berneray / Beàrnaraigh  (North Uist),Y,1205,91503.00,881670.00
013,Eilean Dubh,N,0601,197331.00,903686.00
014,Boreray / Boraraigh,N,1219,85082.00,881045.00
015,Grunay,N,1101,469518.00,1171547.00
016,Bressay,Y,1102,449765.00,1144038.00
017,Bruray,Y,1103,468943.00,1172021.00
018,Burray,Y,1001,347649.00,996351.00
019,Bute,Y,0803,210377.00,654840.00
020,Calve Island,N,0829,152328.00,754668.00
021,Canna,Y,0602,124544.00,805874.00
022,Carna,Y,0603,162031.00,758827.00
023,Cava,N,1002,332773.00,999564.00
024,Coll,Y,0804,116096.00,753331.00
025,Colonsay,Y,0805,137550.00,694517.00
026,Copinsay,N,1003,361134.00,1001336.00
027,Isle of Danna,Y,0806,169724.00,678774.00
028,Island Davaar,N,0807,175872.00,620215.00
029,Eilean Tioram,Y,0604,178136.00,873984.00
030,Dubh Artach,N,0829,121998.00,702991.00
031,Easdale,Y,0808,173758.00,717095.00
032,East Burra,Y,1104,438044.00,1132340.00
033,Eday,Y,1004,355934.00,1033668.00
034,Egilsay,Y,1005,347091.00,1029637.00
035,Eigg,Y,0605,147151.00,786717.00
036,Eilean Ban,Y,0606,174702.00,827200.00
037,Eilean Donnan,Y,0607,188119.00,825842.00
038,Eilean na Cille,Y,1207,84619.00,846049.00
039,Ensay / Easaigh,Y,1208,97877.00,886085.00
040,Eriksay / Eirisgeigh,Y,1209,79345.00,810681.00
041,Erraid,Y,0829,129869.00,719792.00
042,Isle of Ewe,Y,0608,185116.00,888228.00
043,Fair Isle,Y,1105,421005.00,1071792.00
044,Fara,N,1006,332770.00,995754.00
045,Fetlar,Y,1106,462751.00,1191624.00
046,Eilean Fladday,N,0609,158871.00,851002.00
047,Eilean Mòr  (Flannan Isles),N,1210,72882.00,946893.00
048,Flodaigh,Y,1203,84484.00,855092.00
